filename	acq_time	operator	randstr
anat/sub-004_ses-01_scout__dup-01.nii.gz	2026-03-04T17:01:25	n/a	88efc3d6
anat/sub-004_ses-01_scout1.nii.gz	2026-03-04T17:01:27	n/a	ea851b49
anat/sub-004_ses-01_scout2.nii.gz	2026-03-04T17:01:27	n/a	ea851b49
anat/sub-004_ses-01_scout3.nii.gz	2026-03-04T17:01:27	n/a	ea851b49
anat/sub-004_ses-01_scout__dup-021.nii.gz	2026-03-04T17:01:27	n/a	e34525eb
anat/sub-004_ses-01_scout__dup-022.nii.gz	2026-03-04T17:01:27	n/a	e34525eb
anat/sub-004_ses-01_scout__dup-023.nii.gz	2026-03-04T17:01:27	n/a	e34525eb
anat/sub-004_ses-01_scout__dup-024.nii.gz	2026-03-04T17:01:27	n/a	e34525eb
anat/sub-004_ses-01_scout__dup-031.nii.gz	2026-03-04T17:01:27	n/a	44c176c5
anat/sub-004_ses-01_scout__dup-032.nii.gz	2026-03-04T17:01:27	n/a	44c176c5
anat/sub-004_ses-01_scout__dup-033.nii.gz	2026-03-04T17:01:27	n/a	44c176c5
anat/sub-004_ses-01_acq-08mmXMPR_T1w.nii.gz	2026-03-04T17:14:07	n/a	ad2f5094
func/sub-004_ses-01_task-moral_run-01_bold.nii.gz	2026-03-04T17:16:05	n/a	62246b17
func/sub-004_ses-01_task-langXlocal_run-01_bold.nii.gz	2026-03-04T17:27:05	n/a	312ee309
func/sub-004_ses-01_task-langXtask_run-01_bold.nii.gz	2026-03-04T17:34:07	n/a	9e727763
fmap/sub-004_ses-01_dir-AP_epi.nii.gz	2026-03-04T17:39:25	n/a	01dfea56
fmap/sub-004_ses-01_dir-PA_epi.nii.gz	2026-03-04T17:40:27	n/a	896a6ecf
