random_subid,subid,condition,cond_duration,trial,word_id,word,category_num,category_arousal,category_valence,expected_onset,expected_offset,recorded_onset,trigger_start_time,adjusted_recorded_onset,adjusted_calc_offset,code_end_time,adjusted_code_end_time,expected_recorded_onset_diff
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,0,1,depressed,3,low,low,10,12,32.5701,22.5649,10.0052,12.0052,350.5665,328.0016,0.0052
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,1,2,alarmed,2,high,low,14,16,36.5704,22.5649,14.0055,16.0055,350.5665,328.0016,0.0055
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,2,3,pleased,4,low,high,18,20,40.5694,22.5649,18.0045,20.0045,350.5665,328.0016,0.0045
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,3,4,distressed,2,high,low,22,24,44.5686,22.5649,22.0037,24.0037,350.5665,328.0016,0.0037
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,4,5,annoyed,2,high,low,26,28,48.5692,22.5649,26.0043,28.0043,350.5665,328.0016,0.0043
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,5,6,satisfied,4,low,high,30,32,52.5705,22.5649,30.0056,32.0056,350.5665,328.0016,0.0056
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,6,7,astonished,1,high ,high,34,36,56.5693,22.5649,34.0044,36.0044,350.5665,328.0016,0.0044
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,7,8,afraid,2,high,low,38,40,60.5696,22.5649,38.0047,40.0047,350.5665,328.0016,0.0047
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,8,9,calm,4,low,high,42,44,64.5693,22.5649,42.0044,44.0044,350.5665,328.0016,0.0044
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,9,10,sleepy,4,low,high,46,48,68.5701,22.5649,46.0052,48.0052,350.5665,328.0016,0.0052
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,10,11,frustrated,2,high,low,50,52,72.5701,22.5649,50.0052,52.0052,350.5665,328.0016,0.0052
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,11,12,content,4,low,high,54,56,76.5707,22.5649,54.0058,56.0058,350.5665,328.0016,0.0058
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,12,13,angry,2,high,low,58,60,80.5707,22.5649,58.0058,60.0058,350.5665,328.0016,0.0058
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,13,14,droopy,3,low,low,62,64,84.5695,22.5649,62.0046,64.0046,350.5665,328.0016,0.0046
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,14,15,tired,3,low,low,66,68,88.5701,22.5649,66.0052,68.0052,350.5665,328.0016,0.0052
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,15,16,excited,1,high ,high,70,72,92.5757,22.5649,70.0108,72.0108,350.5665,328.0016,0.010800000000003251
