random_subid,subid ,condition, cond_duration,trial,word_id,word,category_num,category_arousal,category_valence,expected_onset,expected_offset,recorded_onset,trigger_start_time,adjusted_recorded_offset,adjusted_calc_offset
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,long_fixation,10,NaN,NaN,NaN,NaN,NaN,NaN,0,10,22.6676,22.6637,0.0039,10.0039
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,0,1,depressed,3,low,low,10,12,32.668,22.6637,10.0043,12.0043
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,12,14,34.668,22.6637,12.0043,14.0043
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,1,2,alarmed,3,high,low,14,16,36.6683,22.6637,14.0046,16.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,16,18,38.6683,22.6637,16.0046,18.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,2,3,pleased,4,low,high,18,20,40.6688,22.6637,18.0051,20.0051
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,20,22,42.6688,22.6637,20.0051,22.0051
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,3,4,distressed,2,high,low,22,24,44.6682,22.6637,22.0045,24.0045
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,24,26,46.6682,22.6637,24.0045,26.0045
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,4,5,annoyed,2,high,low,26,28,48.6678,22.6637,26.0041,28.0041
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,28,30,50.6678,22.6637,28.0041,30.0041
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,5,6,satisfied,4,low,high,30,32,52.6692,22.6637,30.0055,32.0055
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,32,34,54.6692,22.6637,32.0055,34.0055
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,6,7,astonished,1,high ,high,34,36,56.6685,22.6637,34.0048,36.0048
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,36,38,58.6685,22.6637,36.0048,38.0048
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,7,8,afraid,2,high,low,38,40,60.6683,22.6637,38.0046,40.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,40,42,62.6683,22.6637,40.0046,42.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,8,9,calm,4,low,high,42,44,64.6687,22.6637,42.005,44.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,44,46,66.6687,22.6637,44.005,46.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,9,10,sleepy,4,low,high,46,48,68.669,22.6637,46.0053,48.0053
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,48,50,70.669,22.6637,48.0053,50.0053
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,10,11,frustrated,2,high,low,50,52,72.6686,22.6637,50.0049,52.0049
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,52,54,74.6686,22.6637,52.0049,54.0049
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,11,12,content,4,low,high,54,56,76.6681,22.6637,54.0044,56.0044
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,56,58,78.6681,22.6637,56.0044,58.0044
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,12,13,angry,2,high,low,58,60,80.6681,22.6637,58.0044,60.0044
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,60,62,82.6681,22.6637,60.0044,62.0044
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,13,14,droopy,3,low,low,62,64,84.6685,22.6637,62.0048,64.0048
