subid,trial,category
27c74195-60d8-43d7-ab12-29531bee47e8,0,S
27c74195-60d8-43d7-ab12-29531bee47e8,1,S
27c74195-60d8-43d7-ab12-29531bee47e8,2,S
27c74195-60d8-43d7-ab12-29531bee47e8,3,N
27c74195-60d8-43d7-ab12-29531bee47e8,4,N
27c74195-60d8-43d7-ab12-29531bee47e8,5,N
27c74195-60d8-43d7-ab12-29531bee47e8,6,N
27c74195-60d8-43d7-ab12-29531bee47e8,7,N
27c74195-60d8-43d7-ab12-29531bee47e8,8,N
27c74195-60d8-43d7-ab12-29531bee47e8,9,S
27c74195-60d8-43d7-ab12-29531bee47e8,10,S
27c74195-60d8-43d7-ab12-29531bee47e8,11,S
27c74195-60d8-43d7-ab12-29531bee47e8,12,N
27c74195-60d8-43d7-ab12-29531bee47e8,13,N
27c74195-60d8-43d7-ab12-29531bee47e8,14,N
27c74195-60d8-43d7-ab12-29531bee47e8,15,S
27c74195-60d8-43d7-ab12-29531bee47e8,16,S
27c74195-60d8-43d7-ab12-29531bee47e8,17,S
27c74195-60d8-43d7-ab12-29531bee47e8,18,N
27c74195-60d8-43d7-ab12-29531bee47e8,19,N
27c74195-60d8-43d7-ab12-29531bee47e8,20,N
27c74195-60d8-43d7-ab12-29531bee47e8,21,S
27c74195-60d8-43d7-ab12-29531bee47e8,22,S
27c74195-60d8-43d7-ab12-29531bee47e8,23,S
27c74195-60d8-43d7-ab12-29531bee47e8,24,S
27c74195-60d8-43d7-ab12-29531bee47e8,25,S
27c74195-60d8-43d7-ab12-29531bee47e8,26,S
27c74195-60d8-43d7-ab12-29531bee47e8,27,N
27c74195-60d8-43d7-ab12-29531bee47e8,28,N
27c74195-60d8-43d7-ab12-29531bee47e8,29,N
27c74195-60d8-43d7-ab12-29531bee47e8,30,S
27c74195-60d8-43d7-ab12-29531bee47e8,31,S
27c74195-60d8-43d7-ab12-29531bee47e8,32,S
27c74195-60d8-43d7-ab12-29531bee47e8,33,N
27c74195-60d8-43d7-ab12-29531bee47e8,34,N
27c74195-60d8-43d7-ab12-29531bee47e8,35,N
27c74195-60d8-43d7-ab12-29531bee47e8,36,N
27c74195-60d8-43d7-ab12-29531bee47e8,37,N
27c74195-60d8-43d7-ab12-29531bee47e8,38,N
27c74195-60d8-43d7-ab12-29531bee47e8,39,S
27c74195-60d8-43d7-ab12-29531bee47e8,40,S
27c74195-60d8-43d7-ab12-29531bee47e8,41,S
27c74195-60d8-43d7-ab12-29531bee47e8,42,S
27c74195-60d8-43d7-ab12-29531bee47e8,43,S
27c74195-60d8-43d7-ab12-29531bee47e8,44,S
27c74195-60d8-43d7-ab12-29531bee47e8,45,N
27c74195-60d8-43d7-ab12-29531bee47e8,46,N
27c74195-60d8-43d7-ab12-29531bee47e8,47,N
