neural_subject,behavior_subject,roi,metric,spearman_r,same_subject
sub-001,sub-001,LH_IFGorb,correlation,0.11698382277085163,True
sub-001,sub-001,LH_IFGorb,euclidean,0.04322347942171827,True
sub-001,sub-001,LH_IFGorb,cosine,0.11698382277085163,True
sub-001,sub-001,LH_IFG,correlation,-0.0457624038244031,True
sub-001,sub-001,LH_IFG,euclidean,0.01042763331374116,True
sub-001,sub-001,LH_IFG,cosine,-0.0457624038244031,True
sub-001,sub-001,LH_MFG,correlation,-0.06466236410369768,True
sub-001,sub-001,LH_MFG,euclidean,-0.06250060394103328,True
sub-001,sub-001,LH_MFG,cosine,-0.06466236410369768,True
sub-001,sub-001,LH_AntTemp,correlation,-0.019304289494904044,True
sub-001,sub-001,LH_AntTemp,euclidean,-0.02470468664200459,True
sub-001,sub-001,LH_AntTemp,cosine,-0.019304289494904044,True
sub-001,sub-001,LH_PostTemp,correlation,0.03297656468242207,True
sub-001,sub-001,LH_PostTemp,euclidean,0.06939221527441622,True
sub-001,sub-001,LH_PostTemp,cosine,0.03297656468242207,True
sub-001,sub-001,RH_IFGorb,correlation,0.04272879091888633,True
sub-001,sub-001,RH_IFGorb,euclidean,0.02109317462421999,True
sub-001,sub-001,RH_IFGorb,cosine,0.04272879091888633,True
sub-001,sub-001,RH_IFG,correlation,0.0544177369412932,True
sub-001,sub-001,RH_IFG,euclidean,0.033131262069723846,True
sub-001,sub-001,RH_IFG,cosine,0.05433910148564072,True
sub-001,sub-001,RH_MFG,correlation,0.06732367387008892,True
sub-001,sub-001,RH_MFG,euclidean,0.00696081053435712,True
sub-001,sub-001,RH_MFG,cosine,0.06732367387008892,True
sub-001,sub-001,RH_AntTemp,correlation,-0.09227227339817191,True
sub-001,sub-001,RH_AntTemp,euclidean,-0.05074331655898661,True
sub-001,sub-001,RH_AntTemp,cosine,-0.09227227339817191,True
sub-001,sub-001,RH_PostTemp,correlation,0.03974950796454764,True
sub-001,sub-001,RH_PostTemp,euclidean,0.02272650452489977,True
sub-001,sub-001,RH_PostTemp,cosine,0.03977095399790741,True
sub-001,sub-001,ALL,correlation,0.018458171992083407,True
sub-001,sub-001,ALL,euclidean,0.03060463339283195,True
sub-001,sub-001,ALL,cosine,0.018732967166199876,True
sub-001,sub-002,LH_IFGorb,correlation,0.12269499302622823,False
sub-001,sub-002,LH_IFGorb,euclidean,0.05890350418847317,False
sub-001,sub-002,LH_IFGorb,cosine,0.12269499302622823,False
sub-001,sub-002,LH_IFG,correlation,0.05331564250953695,False
sub-001,sub-002,LH_IFG,euclidean,0.029887637910825562,False
sub-001,sub-002,LH_IFG,cosine,0.05331564250953695,False
sub-001,sub-002,LH_MFG,correlation,0.02820043946459304,False
sub-001,sub-002,LH_MFG,euclidean,-0.01280943712713507,False
sub-001,sub-002,LH_MFG,cosine,0.02820043946459304,False
sub-001,sub-002,LH_AntTemp,correlation,-0.04208100020270299,False
sub-001,sub-002,LH_AntTemp,euclidean,-0.09570181998671529,False
sub-001,sub-002,LH_AntTemp,cosine,-0.042140205165979834,False
sub-001,sub-002,LH_PostTemp,correlation,0.0024131027785834545,False
sub-001,sub-002,LH_PostTemp,euclidean,0.00919421618114777,False
sub-001,sub-002,LH_PostTemp,cosine,0.0024131027785834545,False
sub-001,sub-002,RH_IFGorb,correlation,0.011568707027159366,False
sub-001,sub-002,RH_IFGorb,euclidean,-0.051513752322850236,False
sub-001,sub-002,RH_IFGorb,cosine,0.011568707027159366,False
sub-001,sub-002,RH_IFG,correlation,0.09429520158383825,False
sub-001,sub-002,RH_IFG,euclidean,0.03786000093681054,False
sub-001,sub-002,RH_IFG,cosine,0.09425115537927481,False
sub-001,sub-002,RH_MFG,correlation,0.14392440558286645,False
sub-001,sub-002,RH_MFG,euclidean,0.055952980511352515,False
sub-001,sub-002,RH_MFG,cosine,0.14392440558286645,False
sub-001,sub-002,RH_AntTemp,correlation,0.021313786779665646,False
sub-001,sub-002,RH_AntTemp,euclidean,0.04297365088090128,False
sub-001,sub-002,RH_AntTemp,cosine,0.021313786779665646,False
sub-001,sub-002,RH_PostTemp,correlation,0.07420898824564236,False
sub-001,sub-002,RH_PostTemp,euclidean,-0.0015118716709247532,False
sub-001,sub-002,RH_PostTemp,cosine,0.07424273793485331,False
sub-001,sub-002,ALL,correlation,0.06469443603130584,False
sub-001,sub-002,ALL,euclidean,0.008872736090697633,False
sub-001,sub-002,ALL,cosine,0.06494412652860386,False
sub-001,sub-003,LH_IFGorb,correlation,-0.10501866181128329,False
sub-001,sub-003,LH_IFGorb,euclidean,-0.1698930462118981,False
sub-001,sub-003,LH_IFGorb,cosine,-0.10501866181128329,False
sub-001,sub-003,LH_IFG,correlation,-0.05648252656233161,False
sub-001,sub-003,LH_IFG,euclidean,0.047798072366446794,False
sub-001,sub-003,LH_IFG,cosine,-0.05648252656233161,False
sub-001,sub-003,LH_MFG,correlation,-0.05844612243092374,False
sub-001,sub-003,LH_MFG,euclidean,0.043065669168597144,False
sub-001,sub-003,LH_MFG,cosine,-0.05844612243092374,False
sub-001,sub-003,LH_AntTemp,correlation,-0.05994282137732735,False
sub-001,sub-003,LH_AntTemp,euclidean,-0.07561587099725556,False
sub-001,sub-003,LH_AntTemp,cosine,-0.05993882103650076,False
sub-001,sub-003,LH_PostTemp,correlation,0.04085748103232242,False
sub-001,sub-003,LH_PostTemp,euclidean,0.10059314190255876,False
sub-001,sub-003,LH_PostTemp,cosine,0.04085748103232242,False
sub-001,sub-003,RH_IFGorb,correlation,-0.0465593954033579,False
sub-001,sub-003,RH_IFGorb,euclidean,-0.09058971818842289,False
sub-001,sub-003,RH_IFGorb,cosine,-0.0465593954033579,False
sub-001,sub-003,RH_IFG,correlation,0.0899279475202536,False
sub-001,sub-003,RH_IFG,euclidean,0.0975540258288763,False
sub-001,sub-003,RH_IFG,cosine,0.0899279475202536,False
sub-001,sub-003,RH_MFG,correlation,0.03029429534109515,False
sub-001,sub-003,RH_MFG,euclidean,0.004324939910798956,False
sub-001,sub-003,RH_MFG,cosine,0.03029429534109515,False
sub-001,sub-003,RH_AntTemp,correlation,-0.03136410077357607,False
sub-001,sub-003,RH_AntTemp,euclidean,-0.028212975156749247,False
sub-001,sub-003,RH_AntTemp,cosine,-0.03136410077357607,False
sub-001,sub-003,RH_PostTemp,correlation,0.0992213107376707,False
sub-001,sub-003,RH_PostTemp,euclidean,0.0927007551903377,False
sub-001,sub-003,RH_PostTemp,cosine,0.09931303283805168,False
sub-001,sub-003,ALL,correlation,0.026681987574689207,False
sub-001,sub-003,ALL,euclidean,0.0403260071796476,False
sub-001,sub-003,ALL,cosine,0.026935723478546864,False
sub-001,sub-004,LH_IFGorb,correlation,-0.08361261566593967,False
sub-001,sub-004,LH_IFGorb,euclidean,-0.08162982208778388,False
sub-001,sub-004,LH_IFGorb,cosine,-0.08361261566593967,False
sub-001,sub-004,LH_IFG,correlation,-0.026100148940125526,False
sub-001,sub-004,LH_IFG,euclidean,0.02072899735418697,False
sub-001,sub-004,LH_IFG,cosine,-0.026100148940125526,False
sub-001,sub-004,LH_MFG,correlation,-0.10691222973416022,False
sub-001,sub-004,LH_MFG,euclidean,-0.12225404135939398,False
sub-001,sub-004,LH_MFG,cosine,-0.10691222973416022,False
sub-001,sub-004,LH_AntTemp,correlation,0.036264650315508996,False
sub-001,sub-004,LH_AntTemp,euclidean,-0.032347451912223886,False
sub-001,sub-004,LH_AntTemp,cosine,0.036246898228599875,False
sub-001,sub-004,LH_PostTemp,correlation,0.03391507571589219,False
sub-001,sub-004,LH_PostTemp,euclidean,-0.06489418531620178,False
sub-001,sub-004,LH_PostTemp,cosine,0.03391507571589219,False
sub-001,sub-004,RH_IFGorb,correlation,-0.037279382509152914,False
